"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"上午 01:09:44.8222664","Akagi64.exe","11604","Process Start","","SUCCESS","Parent PID: 5552, Command line: ""C:\Users\Public\Akagi64.exe"" 45 C:\Windows\System32\cmd.exe, Current directory: C:\Users\Public\, Environment: ;	ALLUSERSPROFILE=C:\ProgramData;	APPDATA=C:\Users\caldera\AppData\Roaming;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=CALDERA-AGENT;	ComSpec=C:\WINDOWS\system32\cmd.exe;	DriverData=C:\Windows\System32\Drivers\DriverData;	HOMEDRIVE=C:;	HOMEPATH=\Users\caldera;	LOCALAPPDATA=C:\Users\caldera\AppData\Local;	LOGONSERVER=\\CALDERA-AGENT;	NUMBER_OF_PROCESSORS=16;	OneDrive=C:\Users\caldera\OneDrive;	OS=Windows_NT;	Path=C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\Windows Kits\10\Windows Performance Toolkit\;C:\Users\caldera\AppData\Local\Microsoft\WindowsApps;;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 85 Stepping 4, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=5504;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PSExecutionPolicyPreference=Bypass;	PSModulePath=C:\Users\caldera\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules;	PUBLIC=C:\Users\Public;	SESSIONNAME=Console;	SystemDrive=C:;	SystemRoot=C:\WINDOWS;	TEMP=C:\Users\caldera\AppData\Local\Temp;	TMP=C:\Users\caldera\AppData\Local\Temp;	USERDOMAIN=caldera-agent;	USERDOMAIN_ROAMINGPROFILE=caldera-agent;	USERNAME=caldera;	USERPROFILE=C:\Users\caldera;	windir=C:\WINDOWS;	WSLENV=WT_SESSION:WT_PROFILE_ID:;	WT_PROFILE_ID={61c54bbd-c2c6-5271-96e7-009a87ff44bf};	WT_SESSION=e55ad2bb-749e-4a38-99df-dd0169b11f90"
"上午 01:09:44.8222727","Akagi64.exe","11604","Thread Create","","SUCCESS","Thread ID: 11540"
"上午 01:09:44.8266615","Akagi64.exe","11604","Load Image","C:\Users\Public\Akagi64.exe","SUCCESS","Image Base: 0x7ff6909e0000, Image Size: 0x2b000"
"上午 01:09:44.8270430","Akagi64.exe","11604","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7fff140e0000, Image Size: 0x267000"
"上午 01:09:44.8274723","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","REPARSE","Desired Access: Read"
"上午 01:09:44.8275320","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","Desired Access: Read"
"上午 01:09:44.8275861","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\ACP","SUCCESS","Type: REG_SZ, Length: 8, Data: 950"
"上午 01:09:44.8276472","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\OEMCP","SUCCESS","Type: REG_SZ, Length: 8, Data: 950"
"上午 01:09:44.8276942","Akagi64.exe","11604","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS",""
"上午 01:09:44.8279761","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"上午 01:09:44.8280200","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"上午 01:09:44.8280650","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"上午 01:09:44.8281137","Akagi64.exe","11604","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"上午 01:09:44.8281601","Akagi64.exe","11604","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"上午 01:09:44.8282003","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:09:44.8282778","Akagi64.exe","11604","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"上午 01:09:44.8283292","Akagi64.exe","11604","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Akagi64.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"上午 01:09:44.8289029","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\41911A28A3BC10B5","BUFFER TOO SMALL","Length: 0"
"上午 01:09:44.8289455","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\41911A28A3BC10B5","SUCCESS","Type: REG_BINARY, Length: 72, Data: 01 00 04 80 00 00 00 00 00 00 00 00 00 00 00 00"
"上午 01:09:44.8299342","Akagi64.exe","11604","CreateFile","C:\Users\Public","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"上午 01:09:44.8304253","Akagi64.exe","11604","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7fff13970000, Image Size: 0xc9000"
"上午 01:09:44.8307794","Akagi64.exe","11604","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7fff11a70000, Image Size: 0x3f4000"
"上午 01:09:44.8325159","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"上午 01:09:44.8325805","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"上午 01:09:44.8336821","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"上午 01:09:44.8337324","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"上午 01:09:44.8337888","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"上午 01:09:44.8338292","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"上午 01:09:44.8338817","Akagi64.exe","11604","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"上午 01:09:44.8339364","Akagi64.exe","11604","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"上午 01:09:44.8339847","Akagi64.exe","11604","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"上午 01:09:44.8340367","Akagi64.exe","11604","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:09:44.8341178","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"上午 01:09:44.8341634","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"上午 01:09:44.8342070","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"上午 01:09:44.8343080","Akagi64.exe","11604","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"上午 01:09:44.8349040","Akagi64.exe","11604","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7fff13510000, Image Size: 0x1c5000"
"上午 01:09:44.8356543","Akagi64.exe","11604","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7fff10e70000, Image Size: 0x27000"
"上午 01:09:44.8359114","Akagi64.exe","11604","Thread Create","","SUCCESS","Thread ID: 9104"
"上午 01:09:44.8364621","Akagi64.exe","11604","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7fff13480000, Image Size: 0x2b000"
"上午 01:09:44.8368083","Akagi64.exe","11604","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7fff11890000, Image Size: 0x12b000"
"上午 01:09:44.8371427","Akagi64.exe","11604","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7fff10dc0000, Image Size: 0xa3000"
"上午 01:09:44.8374409","Akagi64.exe","11604","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7fff10b20000, Image Size: 0x14b000"
"上午 01:09:44.8376666","Akagi64.exe","11604","Thread Create","","SUCCESS","Thread ID: 4940"
"上午 01:09:44.8379638","Akagi64.exe","11604","Load Image","C:\Windows\System32\advapi32.dll","SUCCESS","Image Base: 0x7fff13880000, Image Size: 0xb6000"
"上午 01:09:44.8379805","Akagi64.exe","11604","Thread Create","","SUCCESS","Thread ID: 9204"
"上午 01:09:44.8383146","Akagi64.exe","11604","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7fff13e50000, Image Size: 0xa9000"
"上午 01:09:44.8386880","Akagi64.exe","11604","Load Image","C:\Windows\System32\sechost.dll","SUCCESS","Image Base: 0x7fff13da0000, Image Size: 0xa7000"
"上午 01:09:44.8391082","Akagi64.exe","11604","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7fff13f00000, Image Size: 0x118000"
"上午 01:09:44.8394306","Akagi64.exe","11604","Load Image","C:\Windows\System32\shell32.dll","SUCCESS","Image Base: 0x7fff12520000, Image Size: 0x767000"
"上午 01:09:44.8399519","Akagi64.exe","11604","Load Image","C:\Windows\System32\WinTypes.dll","SUCCESS","Image Base: 0x7fff109b0000, Image Size: 0x16a000"
"上午 01:09:44.8402529","Akagi64.exe","11604","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7fff11ee0000, Image Size: 0x382000"
"上午 01:09:44.8406490","Akagi64.exe","11604","Load Image","C:\Windows\System32\ole32.dll","SUCCESS","Image Base: 0x7fff136e0000, Image Size: 0x197000"
"上午 01:09:44.8410086","Akagi64.exe","11604","Load Image","C:\Windows\System32\oleaut32.dll","SUCCESS","Image Base: 0x7fff133a0000, Image Size: 0xd8000"
"上午 01:09:44.8412146","Akagi64.exe","11604","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide\AssemblyStorageRoots","NAME NOT FOUND","Desired Access: Enumerate Sub Keys"
"上午 01:09:44.8412814","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"上午 01:09:44.8413470","Akagi64.exe","11604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"上午 01:09:44.8413940","Akagi64.exe","11604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
"上午 01:09:44.8414512","Akagi64.exe","11604","CreateFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"上午 01:09:44.8418047","Akagi64.exe","11604","CreateFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"上午 01:09:44.8418477","Akagi64.exe","11604","QueryBasicInformationFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS","CreationTime: 2026/4/15 上午 09:43:51, LastAccessTime: 2026/4/22 上午 12:53:35, LastWriteTime: 2026/4/12 上午 03:34:10, ChangeTime: 2026/4/15 下午 05:32:27, FileAttributes: A"
"上午 01:09:44.8418665","Akagi64.exe","11604","CloseFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS",""
"上午 01:09:44.8422136","Akagi64.exe","11604","CreateFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"上午 01:09:44.8423124","Akagi64.exe","11604","CreateFileMapping","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"上午 01:09:44.8423886","Akagi64.exe","11604","CreateFileMapping","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS","SyncType: SyncTypeOther"
"上午 01:09:44.8425800","Akagi64.exe","11604","Load Image","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS","Image Base: 0x7ffefa740000, Image Size: 0x293000"
"上午 01:09:44.8429579","Akagi64.exe","11604","CloseFile","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\comctl32.dll","SUCCESS",""
